Selected Geographies,
"Jefferson County (North Central)--Beaumont City PUMA, Texas",50360
"Jefferson County (Outside Beaumont City)--Port Arthur City PUMA, Texas",58411
"Houston-Galveston Area Council--Liberty & Chambers Counties PUMA, Texas",47880
"Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA, Texas",60325
"Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West) PUMA, Texas",61066
"Houston-Galveston Area Council--Montgomery County (South)--The Woodlands (North) PUMA, Texas",51946
"Houston-Galveston Area Council--Montgomery County (Southeast) PUMA, Texas",49263
"Houston City (North Central)--North of I-10 & Inside Loop I-610 PUMA, Texas",55237
"Houston City (East Central)--East of I-45 & Inside Loop I-610 PUMA, Texas",44549
"Houston City (South Central)--South of US-59, West of I-45 & Inside Loop I-610 PUMA; Texas",65833
"Houston City (West Central)--South of I-10 & Inside Loop I-610 PUMA, Texas",84106
"Harris County (Southeast)--Pasadena City (North & Central)--Inside Beltway TX-8 PUMA, Texas",39793
"Houston (East), Galena Park, Jacinto Cities & Cloverleaf PUMA; Texas",41003
"Houston City (Northeast)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",45537
"Houston City (North) & Aldine--Between Loop I-610 & Beltway TX-8 PUMA, Texas",33414
"Houston City (North)--South of Aldine & Inside Beltway TX-8 PUMA, Texas",50178
"Houston City (North)--West of Aldine & Inside Beltway TX-8 PUMA, Texas",37705
"Houston City (Northwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",41483
"Houston (West) & Spring Valley Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",41424
"Houston (West) & Hunters Creek Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",63939
"Houston City (West)--Westpark Tollway, Between Loop I-610 & Beltway TX-8 PUMA; Texas",51556
"Houston (Southwest) & Bellaire (Southeast) Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",42748
"Houston City (Southwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",46164
"Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",46683
"Houston City (Southeast)--West of Pasadena City & Outside Loop I-610 PUMA, Texas",38320
"Houston (Southeast) & South Houston Cities--Inside Beltway TX-8 PUMA, Texas",37213
"Houston (Southeast) & Webster Cities PUMA, Texas",42156
"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA; Texas",45106
"Harris County (East)--Deer Park, La Porte (North) Cities & Channelview PUMA; Texas",36838
"Harris County (East)--Baytown City PUMA, Texas",45068
"Harris County (Northeast)--Houston City (Far Northeast) PUMA, Texas",43977
"Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA; Texas",48963
"Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA; Texas",53482
"Harris County (Far North)--Spring PUMA, Texas",51919
"Harris County (Northwest)--Jersey Village City--Between Beltway TX-8 & FM-1960 PUMA, Texas",43324
"Harris County (North)--North of FM-1960, West of I-45 & East of TX-249 PUMA; Texas",49151
"Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA, Texas",45556
"Harris County (Northwest)--North of US-290 & North of FM-1960 PUMA, Texas",49853
"Harris County (Far Northwest)--Katy City (Northeast) PUMA, Texas",62472
"Harris County (Northwest)--South of US-290 & West of TX-6 PUMA, Texas",35877
"Harris County (West)--Houston City (West)--North of US-90 & West of TX-6 PUMA, Texas",38595
"Houston City (West)--South of I-10 & West of TX-6 PUMA, Texas",45314
"Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",50422
"Houston City (West)--Westpark Tollway, West of Beltway TX-8 PUMA; Texas",54866
"Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",38533
"Galveston County (Central, South & East)--Galveston, Texas City & La Marque Cities PUMA; Texas",86032
"Galveston County (Northwest)--League City & Friendswood City PUMA, Texas",62261
"Houston-Galveston Area Council--Brazoria County (North)--Pearland City PUMA, Texas",48506
"Houston-Galveston Area Council--Brazoria County (Central)--Alvin City PUMA, Texas",46322
"Houston-Galveston Area Council--Brazoria County (Southwest)--Lake Jackson City PUMA, Texas",44656
"Fort Bend County (East)--Missouri City PUMA, Texas",37494
"Fort Bend County (Northeast)--Sugar Land & Stafford Cities PUMA, Texas",50478
"Fort Bend County (Central)--Rosenberg City, Pecan Grove & New Territory PUMA; Texas",41231
"Fort Bend County (North)--Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA; Texas",55632
"Fort Bend County (West & South) PUMA, Texas",75929
"Houston-Galveston Area Council (West) PUMA, Texas",77623
